Date,State,City,Regular,Mid-Grade,Premium,Diesel
2024-01-05,Alabama,Anniston-Oxford,2.763,3.124,3.494,3.746
2024-12-05,Alabama,Anniston-Oxford,2.766,3.194,3.596,3.335
2024-12-29,Alabama,Anniston-Oxford,2.764,3.134,3.533,3.249
2025-01-04,Alabama,Anniston-Oxford,2.794,3.211,3.561,3.307
2025-01-05,Alabama,Anniston-Oxford,2.792,3.204,3.568,3.302
2024-01-05,Alabama,Auburn,2.789,3.136,3.497,3.679
2024-12-05,Alabama,Auburn,2.724,3.128,3.551,3.277
2024-12-29,Alabama,Auburn,2.653,3.002,3.455,3.228
2025-01-04,Alabama,Auburn,2.671,3.043,3.438,3.290
2025-01-05,Alabama,Auburn,2.677,3.072,3.458,3.302
2024-01-05,Alabama,Birmingham,2.790,3.229,3.618,3.773
2024-12-05,Alabama,Birmingham,2.757,3.233,3.622,3.394
2024-12-29,Alabama,Birmingham,2.724,3.187,3.583,3.337
2025-01-04,Alabama,Birmingham,2.757,3.208,3.630,3.377
2025-01-05,Alabama,Birmingham,2.764,3.218,3.623,3.380
2024-01-05,Alabama,Daphne-Fairhope-Foley,2.793,3.188,3.574,3.615
2024-12-05,Alabama,Daphne-Fairhope-Foley,2.747,3.182,3.565,3.248
2024-12-29,Alabama,Daphne-Fairhope-Foley,2.693,3.109,3.481,3.212
2025-01-04,Alabama,Daphne-Fairhope-Foley,2.713,3.134,3.506,3.235
2025-01-05,Alabama,Daphne-Fairhope-Foley,2.708,3.139,3.493,3.248
2024-01-05,Alabama,Decatur,2.728,3.123,3.516,3.715
2024-12-05,Alabama,Decatur,2.681,3.117,3.510,3.248
2024-12-29,Alabama,Decatur,2.700,3.095,3.460,3.222
2025-01-04,Alabama,Decatur,2.704,3.133,3.535,3.228
2025-01-05,Alabama,Decatur,2.707,3.117,3.505,3.256
2024-01-05,Alabama,Dothan,2.812,3.207,3.577,3.825
2024-12-05,Alabama,Dothan,2.842,3.232,3.588,3.546
2024-12-29,Alabama,Dothan,2.731,3.121,3.545,3.518
2025-01-04,Alabama,Dothan,2.761,3.155,3.536,3.494
