State,City,Date,Regular,Mid,Premium,Diesel
Alabama,Anniston-Oxford,2023-11-19,$2.908,$3.243,$3.586,$3.932
Alabama,Anniston-Oxford,2023-11-19,$2.908,$3.243,$3.586,$3.932
Alabama,Anniston-Oxford,2024-10-19,$2.868,$3.236,$3.662,$3.393
Alabama,Anniston-Oxford,2024-10-19,$2.868,$3.236,$3.662,$3.393
Alabama,Anniston-Oxford,2024-11-12,$2.781,$3.097,$3.497,$3.267
Alabama,Anniston-Oxford,2024-11-12,$2.781,$3.097,$3.497,$3.267
Alabama,Anniston-Oxford,2024-11-18,$2.720,$3.055,$3.420,$3.254
Alabama,Anniston-Oxford,2024-11-18,$2.720,$3.055,$3.420,$3.254
Alabama,Anniston-Oxford,2024-11-19,$2.752,$3.149,$3.554,$3.287
Alabama,Anniston-Oxford,2024-11-19,$2.752,$3.149,$3.554,$3.287
Alabama,Auburn,2023-11-19,$2.838,$3.254,$3.631,$3.928
Alabama,Auburn,2023-11-19,$2.838,$3.254,$3.631,$3.928
Alabama,Auburn,2024-10-19,$2.796,$3.175,$3.569,$3.323
Alabama,Auburn,2024-10-19,$2.796,$3.175,$3.569,$3.323
Alabama,Auburn,2024-11-12,$2.723,$3.123,$3.471,$3.296
Alabama,Auburn,2024-11-12,$2.723,$3.123,$3.471,$3.296
Alabama,Auburn,2024-11-18,$2.687,$3.059,$3.402,$3.286
Alabama,Auburn,2024-11-18,$2.687,$3.059,$3.402,$3.286
Alabama,Auburn,2024-11-19,$2.715,$3.086,$3.489,$3.291
Alabama,Auburn,2024-11-19,$2.715,$3.086,$3.489,$3.291
Alabama,Birmingham,2023-11-19,$2.883,$3.306,$3.697,$4.011
Alabama,Birmingham,2023-11-19,$2.883,$3.306,$3.697,$4.011
Alabama,Birmingham,2024-10-19,$2.872,$3.329,$3.742,$3.417
Alabama,Birmingham,2024-10-19,$2.872,$3.329,$3.742,$3.417
Alabama,Birmingham,2024-11-12,$2.780,$3.250,$3.637,$3.357
Alabama,Birmingham,2024-11-12,$2.780,$3.250,$3.637,$3.357
Alabama,Birmingham,2024-11-18,$2.728,$3.158,$3.573,$3.340
Alabama,Birmingham,2024-11-18,$2.728,$3.158,$3.573,$3.340
Alabama,Birmingham,2024-11-19,$2.745,$3.214,$3.597,$3.359
Alabama,Birmingham,2024-11-19,$2.745,$3.214,$3.597,$3.359
Alabama,Daphne-Fairhope-Foley,2023-11-19,$2.857,$3.220,$3.626,$3.876
Alabama,Daphne-Fairhope-Foley,2023-11-19,$2.857,$3.220,$3.626,$3.876
Alabama,Daphne-Fairhope-Foley,2024-10-19,$2.830,$3.232,$3.606,$3.298
Alabama,Daphne-Fairhope-Foley,2024-10-19,$2.830,$3.232,$3.606,$3.298
Alabama,Daphne-Fairhope-Foley,2024-11-12,$2.756,$3.173,$3.533,$3.259
Alabama,Daphne-Fairhope-Foley,2024-11-12,$2.756,$3.173,$3.533,$3.259
Alabama,Daphne-Fairhope-Foley,2024-11-18,$2.709,$3.114,$3.486,$3.226
Alabama,Daphne-Fairhope-Foley,2024-11-18,$2.709,$3.114,$3.486,$3.226
Alabama,Daphne-Fairhope-Foley,2024-11-19,$2.714,$3.133,$3.517,$3.224
Alabama,Daphne-Fairhope-Foley,2024-11-19,$2.714,$3.133,$3.517,$3.224
Alabama,Decatur,2023-11-19,$2.843,$3.278,$3.683,$3.959
Alabama,Decatur,2023-11-19,$2.843,$3.278,$3.683,$3.959
Alabama,Decatur,2024-10-19,$2.826,$3.249,$3.599,$3.325
Alabama,Decatur,2024-10-19,$2.826,$3.249,$3.599,$3.325
Alabama,Decatur,2024-11-12,$2.741,$3.117,$3.515,$3.266
Alabama,Decatur,2024-11-12,$2.741,$3.117,$3.515,$3.266
Alabama,Decatur,2024-11-18,$2.700,$3.117,$3.486,$3.261
Alabama,Decatur,2024-11-18,$2.700,$3.117,$3.486,$3.261
Alabama,Decatur,2024-11-19,$2.703,$3.149,$3.502,$3.243
Alabama,Decatur,2024-11-19,$2.703,$3.149,$3.502,$3.243
Alabama,Dothan,2023-11-19,$2.870,$3.238,$3.608,$3.999
Alabama,Dothan,2023-11-19,$2.870,$3.238,$3.608,$3.999
Alabama,Dothan,2024-10-19,$2.931,$3.325,$3.705,$3.520
Alabama,Dothan,2024-10-19,$2.931,$3.325,$3.705,$3.520
Alabama,Dothan,2024-11-12,$2.844,$3.230,$3.592,$3.493
Alabama,Dothan,2024-11-12,$2.844,$3.230,$3.592,$3.493
Alabama,Dothan,2024-11-18,$2.797,$3.186,$3.514,$3.513
Alabama,Dothan,2024-11-18,$2.797,$3.186,$3.514,$3.513
Alabama,Dothan,2024-11-19,$2.814,$3.208,$3.546,$3.500
Alabama,Dothan,2024-11-19,$2.814,$3.208,$3.546,$3.500
Alabama,Florence-Muscle Shoals,2023-11-19,$2.860,$3.268,$3.673,$3.996
Alabama,Florence-Muscle Shoals,2023-11-19,$2.860,$3.268,$3.673,$3.996
Alabama,Florence-Muscle Shoals,2024-10-19,$2.894,$3.319,$3.695,$3.298
Alabama,Florence-Muscle Shoals,2024-10-19,$2.894,$3.319,$3.695,$3.298
Alabama,Florence-Muscle Shoals,2024-11-12,$2.752,$3.163,$3.523,$3.254
Alabama,Florence-Muscle Shoals,2024-11-12,$2.752,$3.163,$3.523,$3.254
Alabama,Florence-Muscle Shoals,2024-11-18,$2.698,$3.065,$3.466,$3.261
Alabama,Florence-Muscle Shoals,2024-11-18,$2.698,$3.065,$3.466,$3.261
Alabama,Florence-Muscle Shoals,2024-11-19,$2.731,$3.123,$3.510,$3.262
Alabama,Florence-Muscle Shoals,2024-11-19,$2.731,$3.123,$3.510,$3.262
Alabama,Gadsden,2023-11-19,$2.812,$3.166,$3.566,$3.986
Alabama,Gadsden,2023-11-19,$2.812,$3.166,$3.566,$3.986
Alabama,Gadsden,2024-10-19,$2.789,$3.240,$3.631,$3.368
Alabama,Gadsden,2024-10-19,$2.789,$3.240,$3.631,$3.368
Alabama,Gadsden,2024-11-12,$2.636,$3.066,$3.488,$3.279
Alabama,Gadsden,2024-11-12,$2.636,$3.066,$3.488,$3.279
Alabama,Gadsden,2024-11-18,$2.603,$3.022,$3.421,$3.231
Alabama,Gadsden,2024-11-18,$2.603,$3.022,$3.421,$3.231
Alabama,Gadsden,2024-11-19,$2.619,$3.019,$3.441,$3.282
Alabama,Gadsden,2024-11-19,$2.619,$3.019,$3.441,$3.282
Alabama,Huntsville,2023-11-19,$2.923,$3.284,$3.693,$3.988
Alabama,Huntsville,2023-11-19,$2.923,$3.284,$3.693,$3.988
Alabama,Huntsville,2024-10-19,$2.891,$3.309,$3.675,$3.390
Alabama,Huntsville,2024-10-19,$2.891,$3.309,$3.675,$3.390
Alabama,Huntsville,2024-11-12,$2.832,$3.236,$3.631,$3.397
Alabama,Huntsville,2024-11-12,$2.832,$3.236,$3.631,$3.397
Alabama,Huntsville,2024-11-18,$2.777,$3.158,$3.550,$3.347
