State,City,Date,Regular,Mid,Premium,Diesel
Alaska,Juneau,2024-11-17,$3.524,$3.494,$3.772,$3.519
Alaska,Juneau,2024-11-16,$3.492,$3.513,$3.736,$3.535
Alaska,Juneau,2024-11-10,$3.510,$3.507,$3.762,$3.527
Alaska,Juneau,2024-10-18,$3.514,$3.535,$3.747,$3.536
Alaska,Juneau,2023-11-18,$4.188,$4.086,$4.355,$4.616
Alaska,Fairbanks,2024-11-17,$3.450,$3.726,$3.910,$3.717
Alaska,Fairbanks,2024-11-16,$3.455,$3.716,$3.969,$3.710
Alaska,Fairbanks,2024-11-10,$3.479,$3.737,$3.948,$3.722
Alaska,Fairbanks,2024-10-18,$3.504,$3.767,$3.960,$3.758
Alaska,Fairbanks,2023-11-18,$3.868,$4.014,$4.221,$4.295
Alaska,Anchorage,2024-11-17,$3.484,$3.797,$4.025,$3.608
Alaska,Anchorage,2024-11-16,$3.489,$3.788,$4.035,$3.607
Alaska,Anchorage,2024-11-10,$3.562,$3.850,$4.105,$3.640
Alaska,Anchorage,2024-10-18,$3.637,$3.900,$4.176,$3.661
Alaska,Anchorage,2023-11-18,$4.028,$4.340,$4.544,$4.411
Alabama,Birmingham,2024-11-17,$2.733,$3.173,$3.572,$3.362
Alabama,Birmingham,2024-11-16,$2.740,$3.189,$3.590,$3.366
Alabama,Birmingham,2024-11-10,$2.790,$3.236,$3.627,$3.361
Alabama,Birmingham,2024-10-18,$2.890,$3.364,$3.757,$3.432
Alabama,Birmingham,2023-11-18,$2.907,$3.327,$3.701,$4.028
Alabama,Huntsville,2024-11-17,$2.781,$3.179,$3.575,$3.384
Alabama,Huntsville,2024-11-16,$2.792,$3.203,$3.588,$3.389
Alabama,Huntsville,2024-11-10,$2.835,$3.256,$3.630,$3.403
Alabama,Huntsville,2024-10-18,$2.898,$3.305,$3.699,$3.403
Alabama,Huntsville,2023-11-18,$2.932,$3.330,$3.690,$4.009
Alabama,Mobile,2024-11-17,$2.691,$3.092,$3.475,$3.232
Alabama,Mobile,2024-11-16,$2.695,$3.120,$3.476,$3.257
Alabama,Mobile,2024-11-10,$2.723,$3.170,$3.513,$3.283
Alabama,Mobile,2024-10-18,$2.809,$3.229,$3.599,$3.304
Alabama,Mobile,2023-11-18,$2.878,$3.292,$3.627,$3.882
Alabama,Montgomery,2024-11-17,$2.746,$3.156,$3.574,$3.289
Alabama,Montgomery,2024-11-16,$2.746,$3.172,$3.598,$3.284
Alabama,Montgomery,2024-11-10,$2.789,$3.228,$3.640,$3.278
Alabama,Montgomery,2024-10-18,$2.882,$3.350,$3.753,$3.349
Alabama,Montgomery,2023-11-18,$2.911,$3.343,$3.725,$4.021
Alabama,Tuscaloosa,2024-11-17,$2.725,$3.171,$3.556,$3.286
Alabama,Tuscaloosa,2024-11-16,$2.732,$3.141,$3.571,$3.283
Alabama,Tuscaloosa,2024-11-10,$2.760,$3.174,$3.594,$3.300
Alabama,Tuscaloosa,2024-10-18,$2.817,$3.253,$3.665,$3.316
Alabama,Tuscaloosa,2023-11-18,$2.880,$3.280,$3.678,$3.958
Alabama,Anniston-Oxford,2024-11-17,$2.724,$3.059,$3.500,$3.274
Alabama,Anniston-Oxford,2024-11-16,$2.748,$3.091,$3.520,$3.269
Alabama,Anniston-Oxford,2024-11-10,$2.796,$3.169,$3.594,$3.310
Alabama,Anniston-Oxford,2024-10-18,$2.881,$3.292,$3.680,$3.388
Alabama,Anniston-Oxford,2023-11-18,$2.929,$3.257,$3.621,$3.941
Alabama,Auburn,2024-11-17,$2.691,$3.055,$3.435,$3.271
Alabama,Auburn,2024-11-16,$2.702,$3.049,$3.497,$3.246
Alabama,Auburn,2024-11-10,$2.721,$3.143,$3.518,$3.288
Alabama,Auburn,2024-10-18,$2.812,$3.171,$3.547,$3.314
Alabama,Auburn,2023-11-18,$2.857,$3.239,$3.550,$3.940
Alabama,Daphne-Fairhope-Foley,2024-11-17,$2.721,$3.114,$3.489,$3.236
Alabama,Daphne-Fairhope-Foley,2024-11-16,$2.725,$3.136,$3.513,$3.240
Alabama,Daphne-Fairhope-Foley,2024-11-10,$2.777,$3.200,$3.557,$3.256
Alabama,Daphne-Fairhope-Foley,2024-10-18,$2.844,$3.252,$3.622,$3.312
Alabama,Daphne-Fairhope-Foley,2023-11-18,$2.876,$3.263,$3.655,$3.891
Alabama,Decatur,2024-11-17,$2.703,$3.146,$3.508,$3.280
Alabama,Decatur,2024-11-16,$2.706,$3.144,$3.527,$3.274
Alabama,Decatur,2024-11-10,$2.743,$3.173,$3.526,$3.276
Alabama,Decatur,2024-10-18,$2.839,$3.217,$3.611,$3.322
Alabama,Decatur,2023-11-18,$2.865,$3.296,$3.675,$3.957
Alabama,Dothan,2024-11-17,$2.806,$3.194,$3.554,$3.520
Alabama,Dothan,2024-11-16,$2.812,$3.223,$3.559,$3.514
Alabama,Dothan,2024-11-10,$2.865,$3.233,$3.637,$3.530
Alabama,Dothan,2024-10-18,$2.945,$3.348,$3.694,$3.532
Alabama,Dothan,2023-11-18,$2.911,$3.255,$3.613,$4.042
Alabama,Florence-Muscle Shoals,2024-11-17,$2.718,$3.097,$3.486,$3.256
Alabama,Florence-Muscle Shoals,2024-11-16,$2.723,$3.124,$3.506,$3.249
Alabama,Florence-Muscle Shoals,2024-11-10,$2.760,$3.161,$3.543,$3.255
Alabama,Florence-Muscle Shoals,2024-10-18,$2.933,$3.342,$3.753,$3.303
Alabama,Florence-Muscle Shoals,2023-11-18,$2.903,$3.294,$3.705,$3.982
Alabama,Gadsden,2024-11-17,$2.608,$3.039,$3.400,$3.258
Alabama,Gadsden,2024-11-16,$2.616,$3.047,$3.446,$3.289
Alabama,Gadsden,2024-11-10,$2.662,$3.078,$3.464,$3.293
Alabama,Gadsden,2024-10-18,$2.847,$3.220,$3.673,$3.402
Alabama,Gadsden,2023-11-18,$2.824,$3.217,$3.594,$3.955
Alabama,Russell County,2024-11-17,$2.729,$3.185,$3.533,$3.423
Alabama,Russell County,2024-11-16,$2.733,$3.194,$3.545,$3.446
Alabama,Russell County,2024-11-10,$2.742,$3.168,$3.550,$3.443
Alabama,Russell County,2024-10-18,$2.843,$3.322,$3.540,$3.449
Alabama,Russell County,2023-11-18,$2.876,$3.323,$3.668,$4.116
Arkansas,Fayetteville-Springdale-Rogers,2024-11-17,$2.542,$2.897,$3.219,$3.023
Arkansas,Fayetteville-Springdale-Rogers,2024-11-16,$2.555,$2.926,$3.239,$3.025
Arkansas,Fayetteville-Springdale-Rogers,2024-11-10,$2.645,$2.994,$3.319,$3.078
Arkansas,Fayetteville-Springdale-Rogers,2024-10-18,$2.890,$3.226,$3.552,$3.277
Arkansas,Fayetteville-Springdale-Rogers,2023-11-18,$2.865,$3.220,$3.533,$4.059
Arkansas,Little Rock-North Little Rock,2024-11-17,$2.676,$3.111,$3.500,$3.171
