State,Regular,Mid-Grade,Premium,Diesel,Date
Alabama,$2.752,$3.173,$3.570,$3.352,2024-11-16
Alabama,$2.747,$3.159,$3.550,$3.349,2024-11-17
Alabama,$2.739,$3.142,$3.531,$3.330,2024-11-18
Alabama,$2.752,$3.177,$3.564,$3.344,2024-11-19
Alabama,$2.770,$3.208,$3.600,$3.346,2024-11-20
Alabama,$2.772,$3.204,$3.605,$3.343,2024-11-21
Alabama,$2.770,$3.208,$3.605,$3.343,2024-11-22
Alabama,$2.764,$3.203,$3.592,$3.340,2024-11-23
Alabama,$2.761,$3.198,$3.595,$3.337,2024-11-24
Alabama,$2.756,$3.176,$3.567,$3.325,2024-11-25
Alabama,$2.756,$3.184,$3.573,$3.342,2024-11-26
Alabama,$2.750,$3.181,$3.582,$3.344,2024-11-27
Alaska,$3.518,$3.753,$4.010,$3.611,2024-11-16
Alaska,$3.514,$3.757,$4.003,$3.614,2024-11-17
Alaska,$3.498,$3.739,$3.966,$3.618,2024-11-18
Alaska,$3.494,$3.749,$3.968,$3.624,2024-11-19
Alaska,$3.493,$3.758,$3.984,$3.619,2024-11-20
Alaska,$3.491,$3.767,$3.989,$3.625,2024-11-21
Alaska,$3.487,$3.725,$3.974,$3.621,2024-11-22
Alaska,$3.486,$3.723,$3.982,$3.614,2024-11-23
Alaska,$3.491,$3.730,$3.975,$3.609,2024-11-24
Alaska,$3.477,$3.727,$3.945,$3.606,2024-11-25
Alaska,$3.482,$3.753,$3.933,$3.590,2024-11-26
Alaska,$3.480,$3.758,$3.927,$3.594,2024-11-27
Arizona,$3.170,$3.496,$3.820,$3.525,2024-11-16
Arizona,$3.166,$3.488,$3.813,$3.522,2024-11-17
Arizona,$3.168,$3.481,$3.805,$3.512,2024-11-18
Arizona,$3.183,$3.505,$3.829,$3.514,2024-11-19
Arizona,$3.217,$3.545,$3.864,$3.518,2024-11-20
Arizona,$3.224,$3.554,$3.871,$3.521,2024-11-21
Arizona,$3.224,$3.552,$3.875,$3.517,2024-11-22
Arizona,$3.220,$3.549,$3.868,$3.517,2024-11-23
Arizona,$3.217,$3.548,$3.867,$3.517,2024-11-24
