state,abbreviation,name,price,date
Alabama,AL,Autauga,$2.755,2025-05-09
Alabama,AL,Baldwin,$2.718,2025-05-09
Alabama,AL,Barbour,$2.832,2025-05-09
Alabama,AL,Bibb,$2.699,2025-05-09
Alabama,AL,Blount,$2.831,2025-05-09
Alabama,AL,Bullock,$2.798,2025-05-09
Alabama,AL,Butler,$2.830,2025-05-09
Alabama,AL,Calhoun,$2.756,2025-05-09
Alabama,AL,Chambers,$2.761,2025-05-09
Alabama,AL,Cherokee,$2.728,2025-05-09
Alabama,AL,Chilton,$2.728,2025-05-09
Alabama,AL,Choctaw,$2.923,2025-05-09
Alabama,AL,Clarke,$2.844,2025-05-09
Alabama,AL,Clay,$2.806,2025-05-09
Alabama,AL,Cleburne,$2.815,2025-05-09
Alabama,AL,Coffee,$2.863,2025-05-09
Alabama,AL,Colbert,$2.675,2025-05-09
Alabama,AL,Conecuh,$2.961,2025-05-09
Alabama,AL,Coosa,$2.845,2025-05-09
Alabama,AL,Covington,$2.756,2025-05-09
Alabama,AL,Crenshaw,$2.851,2025-05-09
Alabama,AL,Cullman,$2.701,2025-05-09
Alabama,AL,Dale,$2.764,2025-05-09
Alabama,AL,Dallas,$2.827,2025-05-09
Alabama,AL,De Kalb,$2.679,2025-05-09
Alabama,AL,Elmore,$2.780,2025-05-09
Alabama,AL,Escambia,$2.788,2025-05-09
Alabama,AL,Etowah,$2.619,2025-05-09
Alabama,AL,Fayette,$2.842,2025-05-09
Alabama,AL,Franklin,$2.666,2025-05-09
Alabama,AL,Geneva,$2.861,2025-05-09
Alabama,AL,Greene,$3.031,2025-05-09
Alabama,AL,Hale,$2.766,2025-05-09
Alabama,AL,Henry,$2.817,2025-05-09
Alabama,AL,Houston,$2.815,2025-05-09
Alabama,AL,Jackson,$2.786,2025-05-09
Alabama,AL,Jefferson,$2.769,2025-05-09
Alabama,AL,Lamar,$2.884,2025-05-09
Alabama,AL,Lauderdale,$2.743,2025-05-09
Alabama,AL,Lawrence,$2.714,2025-05-09
Alabama,AL,Lee,$2.745,2025-05-09
Alabama,AL,Limestone,$2.761,2025-05-09
Alabama,AL,Lowndes,$2.832,2025-05-09
Alabama,AL,Macon,$2.893,2025-05-09
Alabama,AL,Madison,$2.740,2025-05-09
Alabama,AL,Marengo,$2.841,2025-05-09
Alabama,AL,Marion,$2.822,2025-05-09
Alabama,AL,Marshall,$2.662,2025-05-09
Alabama,AL,Mobile,$2.733,2025-05-09
Alabama,AL,Monroe,$2.878,2025-05-09
Alabama,AL,Montgomery,$2.770,2025-05-09
Alabama,AL,Morgan,$2.708,2025-05-09
Alabama,AL,Perry,$3.065,2025-05-09
Alabama,AL,Pickens,$2.769,2025-05-09
Alabama,AL,Pike,$2.767,2025-05-09
Alabama,AL,Randolph,$2.828,2025-05-09
Alabama,AL,Russell,$2.796,2025-05-09
Alabama,AL,Shelby,$2.680,2025-05-09
Alabama,AL,Saint Clair,$2.719,2025-05-09
Alabama,AL,Sumter,$2.991,2025-05-09
Alabama,AL,Talladega,$2.758,2025-05-09
Alabama,AL,Tallapoosa,$2.756,2025-05-09
Alabama,AL,Tuscaloosa,$2.706,2025-05-09
Alabama,AL,Walker,$2.781,2025-05-09
Alabama,AL,Washington,$2.866,2025-05-09
Alabama,AL,Wilcox,$2.941,2025-05-09
Alabama,AL,Winston,$2.841,2025-05-09
Alaska,AK,Aleutians East,,2025-05-09
Alaska,AK,Aleutians West,,2025-05-09
Alaska,AK,Anchorage,$3.578,2025-05-09
Alaska,AK,Bethel,,2025-05-09
Alaska,AK,Bristol Bay,,2025-05-09
Alaska,AK,Denali,$3.582,2025-05-09
Alaska,AK,Dillingham,,2025-05-09
Alaska,AK,Fairbanks North Star,$3.625,2025-05-09
Alaska,AK,Haines,,2025-05-09
Alaska,AK,Juneau,$3.530,2025-05-09
Alaska,AK,Kenai Peninsula,$3.632,2025-05-09
Alaska,AK,Ketchikan Gateway,$3.763,2025-05-09
Alaska,AK,Kodiak Island,$4.349,2025-05-09
Alaska,AK,Matanuska Susitna,$3.441,2025-05-09
Alaska,AK,Nome,,2025-05-09
Alaska,AK,North Slope,,2025-05-09
Alaska,AK,Northwest Arctic,,2025-05-09
Alaska,AK,Lake and Peninsula,,2025-05-09
Alaska,AK,Prince Wales Ketchikan,,2025-05-09
Alaska,AK,Sitka,$4.314,2025-05-09
Alaska,AK,Skagway Hoonah Angoon,,2025-05-09
Alaska,AK,Southeast Fairbanks,$3.713,2025-05-09
Alaska,AK,Valdez Cordova,$4.202,2025-05-09
Alaska,AK,Wade Hampton,,2025-05-09
Alaska,AK,Wrangell Petersburg,$3.999,2025-05-09
Alaska,AK,Yakutat,,2025-05-09
Alaska,AK,Yukon Koyukuk,$4.049,2025-05-09
Arizona,AZ,Apache,$3.101,2025-05-09
Arizona,AZ,Cochise,$3.013,2025-05-09
Arizona,AZ,Coconino,$3.195,2025-05-09
Arizona,AZ,Gila,$3.198,2025-05-09
Arizona,AZ,Graham,$3.091,2025-05-09
Arizona,AZ,Greenlee,$3.032,2025-05-09
Arizona,AZ,La Paz,$3.066,2025-05-09
Arizona,AZ,Maricopa,$3.455,2025-05-09
Arizona,AZ,Mohave,$3.193,2025-05-09
Arizona,AZ,Navajo,$3.190,2025-05-09
Arizona,AZ,Pima,$3.087,2025-05-09
Arizona,AZ,Pinal,$3.129,2025-05-09
Arizona,AZ,Santa Cruz,$3.221,2025-05-09
Arizona,AZ,Yavapai,$3.171,2025-05-09
Arizona,AZ,Yuma,$2.970,2025-05-09
Arkansas,AR,Arkansas,$2.722,2025-05-09
Arkansas,AR,Ashley,$2.735,2025-05-09
Arkansas,AR,Baxter,$2.660,2025-05-09
Arkansas,AR,Benton,$2.698,2025-05-09
Arkansas,AR,Boone,$2.913,2025-05-09
Arkansas,AR,Bradley,$3.091,2025-05-09
Arkansas,AR,Calhoun,$2.899,2025-05-09
Arkansas,AR,Carroll,$2.843,2025-05-09
Arkansas,AR,Chicot,$2.877,2025-05-09
Arkansas,AR,Clark,$2.808,2025-05-09
Arkansas,AR,Clay,$2.813,2025-05-09
Arkansas,AR,Cleburne,$2.715,2025-05-09
Arkansas,AR,Cleveland,$2.698,2025-05-09
Arkansas,AR,Columbia,$2.860,2025-05-09
Arkansas,AR,Conway,$2.816,2025-05-09
Arkansas,AR,Craighead,$2.630,2025-05-09
Arkansas,AR,Crawford,$2.678,2025-05-09
Arkansas,AR,Crittenden,$2.764,2025-05-09
Arkansas,AR,Cross,$2.770,2025-05-09
Arkansas,AR,Dallas,$2.851,2025-05-09
Arkansas,AR,Desha,$2.919,2025-05-09
Arkansas,AR,Drew,$2.774,2025-05-09
Arkansas,AR,Faulkner,$2.672,2025-05-09
Arkansas,AR,Franklin,$2.733,2025-05-09
Arkansas,AR,Fulton,$2.763,2025-05-09
Arkansas,AR,Garland,$2.681,2025-05-09
Arkansas,AR,Grant,$2.753,2025-05-09
Arkansas,AR,Greene,$2.589,2025-05-09
Arkansas,AR,Hempstead,$2.817,2025-05-09
Arkansas,AR,Hot Spring,$2.587,2025-05-09
Arkansas,AR,Howard,$2.893,2025-05-09
Arkansas,AR,Independence,$2.686,2025-05-09
Arkansas,AR,Izard,$2.948,2025-05-09
Arkansas,AR,Jackson,$2.785,2025-05-09
Arkansas,AR,Jefferson,$2.705,2025-05-09
Arkansas,AR,Johnson,$2.669,2025-05-09
Arkansas,AR,Lafayette,$2.978,2025-05-09
Arkansas,AR,Lawrence,$2.754,2025-05-09
Arkansas,AR,Lee,$2.899,2025-05-09
Arkansas,AR,Lincoln,$2.814,2025-05-09
Arkansas,AR,Little River,$2.899,2025-05-09
Arkansas,AR,Logan,$2.854,2025-05-09
Arkansas,AR,Lonoke,$2.711,2025-05-09
Arkansas,AR,Madison,$2.811,2025-05-09
Arkansas,AR,Marion,$2.778,2025-05-09
Arkansas,AR,Miller,$2.764,2025-05-09
Arkansas,AR,Mississippi,$2.764,2025-05-09
Arkansas,AR,Monroe,$2.706,2025-05-09
Arkansas,AR,Montgomery,$2.926,2025-05-09
Arkansas,AR,Nevada,$2.759,2025-05-09
